03-08-2022 18:09:13.758,-,API2,"RED,0013A20041AE49D4,DigiMesh 2.4 TH,9002,COM9 - 9600/8/N/1/N,3"

03-08-2022 18:07:11.767,0,SENT,7E001017520013A200415D58CBFFFE02443005A8
03-08-2022 18:07:12.279,1,SENT,7E001017520013A200415D58CBFFFE02443105A7
03-08-2022 18:07:12.792,2,SENT,7E001017520013A200415D58CBFFFE02443205A6
03-08-2022 18:07:13.075,3,RECV,7E000F97520013A200415D58CBFFFE4431042A
03-08-2022 18:07:13.075,4,RECV,7E000F97520013A200415D58CBFFFE4430002F
03-08-2022 18:07:13.198,5,RECV,7E000F97520013A200415D58CBFFFE4432002D
03-08-2022 18:07:13.308,6,SENT,7E001017520013A200415D58CBFFFE02443305A5
03-08-2022 18:07:13.384,7,RECV,7E000F97520013A200415D58CBFFFE4433002C
03-08-2022 18:07:13.808,8,SENT,7E001017520013A200415D58CBFFFE02443405A4
03-08-2022 18:07:13.886,9,RECV,7E000F97520013A200415D58CBFFFE4434002B
03-08-2022 18:07:14.321,10,SENT,7E001017520013A200415D58CBFFFE02443505A3
03-08-2022 18:07:14.400,11,RECV,7E000F97520013A200415D58CBFFFE4435002A
03-08-2022 18:07:14.826,12,SENT,7E001017520013A200415D58CBFFFE02443605A2
03-08-2022 18:07:14.886,13,RECV,7E000F97520013A200415D58CBFFFE44360029
03-08-2022 18:07:15.340,14,SENT,7E001017520013A200415D58CBFFFE02443705A1
03-08-2022 18:07:15.418,15,RECV,7E000F97520013A200415D58CBFFFE44370028
03-08-2022 18:07:15.848,16,SENT,7E001017520013A200415D58CBFFFE02443805A0
03-08-2022 18:07:15.912,17,RECV,7E000F97520013A200415D58CBFFFE44380027
03-08-2022 18:07:16.351,18,SENT,7E001017520013A200415D58CBFFFE02443004A9
03-08-2022 18:07:16.459,19,RECV,7E000F97520013A200415D58CBFFFE4430002F
03-08-2022 18:07:16.851,20,SENT,7E001017520013A200415D58CBFFFE02443104A8
03-08-2022 18:07:16.959,21,RECV,7E000F97520013A200415D58CBFFFE4431002E
03-08-2022 18:07:17.366,22,SENT,7E001017520013A200415D58CBFFFE02443204A7
03-08-2022 18:07:17.461,23,RECV,7E000F97520013A200415D58CBFFFE4432002D
03-08-2022 18:07:17.881,24,SENT,7E001017520013A200415D58CBFFFE02443304A6
03-08-2022 18:07:17.959,25,RECV,7E000F97520013A200415D58CBFFFE4433002C
03-08-2022 18:07:18.396,26,SENT,7E001017520013A200415D58CBFFFE02443404A5
03-08-2022 18:07:18.476,27,RECV,7E000F97520013A200415D58CBFFFE4434002B
03-08-2022 18:07:18.900,28,SENT,7E001017520013A200415D58CBFFFE02443504A4
03-08-2022 18:07:18.963,29,RECV,7E000F97520013A200415D58CBFFFE4435002A
03-08-2022 18:07:19.403,30,SENT,7E001017520013A200415D58CBFFFE02443604A3
03-08-2022 18:07:19.483,31,RECV,7E000F97520013A200415D58CBFFFE44360029
03-08-2022 18:07:19.904,32,SENT,7E001017520013A200415D58CBFFFE02443704A2
03-08-2022 18:07:19.967,33,RECV,7E000F97520013A200415D58CBFFFE44370028
03-08-2022 18:07:20.413,34,SENT,7E001017520013A200415D58CBFFFE02443804A1
03-08-2022 18:07:20.493,35,RECV,7E000F97520013A200415D58CBFFFE44380027
03-08-2022 18:07:58.240,36,SENT,7E001017520013A200415D58CBFFFE02443105A7
03-08-2022 18:07:58.330,37,RECV,7E000F97520013A200415D58CBFFFE4431002E
03-08-2022 18:08:03.266,38,SENT,7E001017520013A200415D58CBFFFE02443104A8
03-08-2022 18:08:03.367,39,RECV,7E000F97520013A200415D58CBFFFE4431002E
03-08-2022 18:08:09.006,40,SENT,7E001017520013A200415D58CBFFFE02443005A8
03-08-2022 18:08:09.100,41,RECV,7E000F97520013A200415D58CBFFFE4430002F
03-08-2022 18:08:09.509,42,SENT,7E001017520013A200415D58CBFFFE02443105A7
03-08-2022 18:08:09.602,43,RECV,7E000F97520013A200415D58CBFFFE4431002E
03-08-2022 18:08:10.024,44,SENT,7E001017520013A200415D58CBFFFE02443205A6
03-08-2022 18:08:10.102,45,RECV,7E000F97520013A200415D58CBFFFE4432002D
03-08-2022 18:08:10.535,46,SENT,7E001017520013A200415D58CBFFFE02443305A5
03-08-2022 18:08:10.599,47,RECV,7E000F97520013A200415D58CBFFFE4433002C
03-08-2022 18:08:11.037,48,SENT,7E001017520013A200415D58CBFFFE02443405A4
03-08-2022 18:08:11.117,49,RECV,7E000F97520013A200415D58CBFFFE4434002B
03-08-2022 18:08:11.540,50,SENT,7E001017520013A200415D58CBFFFE02443505A3
03-08-2022 18:08:11.603,51,RECV,7E000F97520013A200415D58CBFFFE4435002A
03-08-2022 18:08:12.041,52,SENT,7E001017520013A200415D58CBFFFE02443605A2
03-08-2022 18:08:12.120,53,RECV,7E000F97520013A200415D58CBFFFE44360029
